seq_id	start	end	strand	feature	gene
chr1	2376	2987	-	repeat	recA
chr2	3974	4170	-	CDS	recA
chr1	2909	3720	+	CDS	gyrA
chr1	3029	3501	+	repeat	recA
chr3	2846	3247	-	intron	gyrA
chr3	1866	2730	+	repeat	dnaA
chr1	3465	3625	+	repeat	tufA
chr1	2384	3025	+	promoter	rpoB
chr4	3735	3969	-	repeat	rpoB
chr1	3056	3815	-	CDS	gyrA
chr1	380	542	-	UTR3	dnaA
chr1	3729	4483	+	CDS	dnaA
chr2	1441	1676	+	repeat	gyrA
chr2	1703	2131	+	UTR5	recA
chr1	1885	2444	-	exon	rpoB
chr4	31	721	+	promoter	lacZ
chr1	3238	3618	-	repeat	lacZ
chr2	698	1153	+	promoter	recA
chr1	97	540	+	promoter	lacZ
chr3	1492	2234	+	promoter	lacZ
chr4	3482	3785	+	UTR5	dnaA
chr1	1883	2511	+	UTR5	recA
chr1	2108	2410	-	exon	tufA
chr2	1008	1132	+	UTR5	ftsZ
chr1	3429	4018	+	repeat	gyrA
chr2	2425	3030	-	exon	lacZ
chr4	949	1699	+	repeat	dnaA
chr4	3049	3228	-	UTR5	ftsZ
chr2	1722	1972	+	promoter	gyrA
chr1	2551	2980	+	exon	recA
chr2	3256	3877	+	CDS	recA
chr1	1275	1596	-	promoter	gyrA
chr4	3729	4199	-	UTR3	ftsZ
chr4	2604	3373	-	repeat	ftsZ
chr4	3684	3984	+	promoter	dnaA
chr3	1316	1870	+	promoter	lacZ
chr4	3230	3449	+	promoter	rpoB
chr1	1953	2783	-	CDS	dnaA
chr3	3761	3983	+	promoter	gyrA
chr3	2288	2379	-	UTR3	ftsZ
chr3	2692	3226	-	UTR5	rpoB
chr4	988	1565	+	promoter	tufA
chr3	2207	2580	-	repeat	rpoB
chr4	3626	4507	-	UTR5	rpoB
chr1	2605	3304	+	promoter	lacZ
chr3	2014	2801	+	repeat	lacZ
chr1	3854	4723	-	UTR5	lacZ
chr3	2103	2681	-	repeat	lacZ
chr3	2537	3087	+	intron	rpoB
chr3	1048	1480	-	promoter	dnaA
chr2	1228	2044	+	intron	dnaA
chr4	465	813	-	intron	dnaA
chr4	2248	2343	+	exon	tufA
chr2	2123	2462	-	promoter	tufA
chr3	3470	3881	+	repeat	rpoB
chr2	1437	1713	-	repeat	gyrA
chr4	2854	3752	-	UTR3	tufA
chr2	3693	4518	+	repeat	ftsZ
chr1	3963	4751	+	promoter	recA
chr2	2832	3564	-	promoter	rpoB
chr4	1527	1654	+	promoter	tufA
chr1	1759	2470	+	repeat	gyrA
chr1	2989	3099	+	CDS	gyrA
chr2	3725	3974	-	UTR5	gyrA
chr4	3826	4242	-	UTR5	gyrA
chr1	2002	2321	-	exon	dnaA
chr1	1528	1835	-	intron	lacZ
chr1	2123	2504	+	exon	lacZ
chr1	641	1435	+	exon	tufA
chr4	2083	2346	-	repeat	gyrA
chr2	607	1111	+	exon	recA
chr2	3126	3578	+	promoter	lacZ
chr4	1953	2070	-	repeat	tufA
chr4	2195	2965	-	intron	tufA
chr2	3319	4051	+	UTR5	rpoB
chr1	1474	2213	+	UTR5	lacZ
chr2	2625	2947	+	repeat	tufA
chr2	675	1131	+	intron	recA
chr2	1535	2041	-	exon	ftsZ
chr1	3235	3417	+	exon	ftsZ
chr1	1730	2415	+	promoter	ftsZ
chr1	1837	2333	+	promoter	recA
chr4	1887	2400	+	UTR5	ftsZ
chr4	1000	1860	-	intron	rpoB
chr3	689	1054	-	promoter	rpoB
chr3	3296	3827	-	UTR5	lacZ
chr2	2731	3057	-	UTR5	dnaA
chr4	576	724	+	UTR3	ftsZ
chr2	2759	3643	-	repeat	gyrA
chr2	1899	2220	+	UTR3	ftsZ
chr4	3337	3485	+	UTR5	lacZ
chr4	1290	1773	-	UTR5	gyrA
chr1	663	798	+	UTR3	gyrA
chr3	2506	2655	-	CDS	tufA
chr4	246	623	-	UTR3	tufA
chr4	2707	2883	+	CDS	recA
chr2	426	723	-	exon	ftsZ
chr1	2069	2351	-	promoter	dnaA
chr3	1029	1767	+	CDS	recA
chr3	145	371	-	CDS	tufA
chr2	3618	4101	+	repeat	ftsZ
chr4	957	1326	+	CDS	recA
chr4	2198	3082	+	exon	ftsZ
chr2	3199	3320	+	promoter	tufA
chr4	2817	2918	+	intron	dnaA
chr1	3173	3482	-	exon	gyrA
chr1	668	1188	-	intron	dnaA
chr3	2118	2639	-	repeat	ftsZ
chr1	1362	1596	+	repeat	lacZ
chr1	3368	3610	+	UTR5	ftsZ
chr4	1928	2632	-	promoter	tufA
chr3	1793	2201	+	UTR5	gyrA
chr2	1737	2353	-	UTR5	gyrA
chr4	3543	4034	+	repeat	lacZ
chr3	1814	2634	-	UTR5	gyrA
chr4	3058	3580	+	intron	tufA
chr3	854	1299	+	intron	dnaA
chr3	2755	2851	+	UTR3	ftsZ
chr3	2008	2323	-	intron	tufA
chr1	1656	1850	-	CDS	dnaA
